speed_p,speed_r,speed_d,distance_d_p,distance_d_r,angle_d,possTimePre,possessionTime,flag
4.45,0.56,1.82,2.47,8.49,1.52,1.40,25.28,1
4.14,6.17,4.93,13.83,29.57,0.71,2.16,29.56,1
13.54,14.67,1.12,8.43,9.70,0.79,8.72,38.76,1
6.17,1.00,3.54,1.70,9.21,0.38,4.80,43.80,1
18.40,0.79,4.19,6.71,5.21,0.49,2.88,47.00,1
0.25,4.26,5.03,6.08,12.88,1.51,1.72,50.08,1
2.30,4.04,4.74,7.16,18.36,0.95,1.12,52.40,1
3.61,4.70,3.89,3.21,24.89,1.48,4.52,57.56,1
1.52,6.75,5.62,24.00,7.91,0.05,5.56,68.88,1
2.02,8.75,5.83,4.53,22.82,0.84,1.12,71.80,1
4.51,0.25,3.47,9.20,13.19,0.45,1.88,74.88,0
5.76,5.26,5.30,15.12,2.21,1.38,2.72,21.56,1
4.01,3.91,3.13,7.18,11.78,2.53,2.40,24.64,1
1.25,1.52,3.51,5.46,5.96,0.44,2.84,27.88,1
6.75,1.06,1.27,11.76,21.58,0.53,0.56,29.96,0
2.75,6.95,3.01,3.67,11.35,1.99,0.00,0.64,1
13.27,7.95,7.06,5.12,4.48,3.13,0.92,1.80,1
2.24,3.72,3.29,1.20,49.04,1.15,2.76,9.16,0
4.01,4.81,4.51,3.26,41.71,1.27,3.92,7.44,1
1.77,0.56,1.80,10.29,16.14,1.28,3.00,11.92,1
1.25,4.01,2.93,5.44,23.34,0.09,1.88,14.72,1
4.16,1.41,1.25,17.41,12.05,0.01,0.44,16.68,0
3.05,0.75,3.61,2.52,28.71,2.67,2.40,4.60,1
9.09,1.46,2.50,8.61,13.52,1.29,2.64,8.20,0
4.32,1.27,4.93,0.82,9.36,3.05,1.28,1.56,1
1.00,2.02,0.79,1.92,18.61,0.92,1.08,3.20,1
1.77,0.25,5.30,18.90,9.43,0.50,1.20,5.36,1
0.79,1.90,2.12,2.52,18.07,0.79,0.72,6.36,1
3.01,3.58,2.57,5.32,19.83,0.11,4.68,11.76,1
2.02,3.78,1.77,18.87,11.32,0.47,2.96,16.00,0
4.16,3.54,4.07,4.75,20.64,0.37,1.56,4.00,1
4.67,2.69,4.30,4.77,14.33,1.72,1.08,5.92,1
1.41,3.00,4.32,9.95,15.40,2.12,2.76,10.20,1
2.30,1.80,3.64,4.77,28.71,1.11,1.88,13.96,1
1.77,2.30,4.47,4.94,12.87,1.60,0.56,15.64,1
1.68,1.27,2.80,6.79,10.07,0.43,2.04,18.80,1
1.25,0.79,1.41,4.67,12.03,2.96,1.08,20.48,1
2.85,1.58,3.82,4.30,28.57,1.05,3.12,24.96,1
1.82,3.00,1.90,9.20,15.13,1.07,3.00,29.04,1
3.75,3.26,7.25,0.64,9.86,0.24,0.64,24.52,1
3.72,2.30,5.76,2.08,26.74,2.74,2.12,29.40,1
5.52,2.70,6.17,3.14,17.21,0.09,7.04,55.16,0
4.19,7.99,7.29,20.36,3.16,3.04,0.76,3.28,1
2.02,1.25,5.70,3.31,13.64,0.25,2.00,2.56,1
3.09,6.73,2.51,28.04,11.55,0.10,0.84,5.32,0
2.85,2.61,0.90,5.56,7.40,1.71,0.80,18.28,1
3.91,3.75,1.68,1.30,4.26,0.95,2.36,7.20,0
3.04,3.04,3.88,37.95,36.68,0.17,1.12,2.24,0
5.35,1.35,5.62,7.60,14.21,1.28,2.84,3.96,1
3.01,4.85,3.76,11.96,9.27,1.62,3.04,8.12,1
3.58,4.80,4.59,4.65,8.22,1.04,1.28,10.84,1
5.76,0.50,3.02,3.93,16.10,0.51,1.68,16.20,0
1.60,2.93,3.91,10.31,6.66,1.09,0.48,1.20,1
3.48,3.40,1.25,9.26,7.00,0.30,3.76,6.48,0
7.04,4.51,3.76,0.50,7.28,2.41,2.20,2.36,1
2.24,5.02,5.39,1.92,12.58,2.17,1.64,5.64,1
3.88,1.03,4.16,12.03,85.50,0.01,0.00,7.80,0
3.16,0.50,2.46,3.08,17.54,0.47,7.24,61.32,1
1.12,0.50,1.41,13.85,9.40,0.30,1.44,63.36,1
2.80,4.51,2.80,8.82,29.49,0.40,5.80,72.68,1
6.19,3.82,4.61,0.78,17.04,1.00,1.00,74.12,1
4.04,7.94,4.95,9.98,7.00,1.91,0.68,75.88,1
3.95,7.75,2.83,5.45,14.76,2.81,1.08,78.84,1
3.95,8.53,5.13,4.33,9.22,1.56,0.28,80.80,1
2.36,2.46,2.85,3.26,27.41,0.15,1.52,83.52,1
7.60,5.71,7.57,1.90,10.50,3.14,6.76,90.88,1
5.48,4.51,4.83,9.65,18.52,0.69,6.40,112.00,1
2.83,5.88,1.80,18.48,10.76,0.34,2.28,119.88,1
3.91,7.50,7.11,4.80,2.40,2.01,0.00,0.44,1
6.58,8.17,6.62,1.49,10.76,0.28,2.92,4.28,1
4.85,3.82,3.40,8.81,12.93,0.51,0.88,36.12,1
1.27,0.71,0.56,10.24,24.03,0.16,3.36,40.36,0
1.35,1.25,2.80,10.93,9.01,0.29,1.68,10.48,1
1.77,1.90,3.16,10.72,8.01,0.71,0.00,11.16,1
3.13,1.25,0.56,2.46,17.43,1.25,4.72,16.24,1
1.25,1.82,1.41,8.94,10.25,0.58,3.48,20.12,1
1.77,0.90,5.48,8.12,5.46,3.10,1.16,23.12,1
1.77,4.42,0.50,34.44,11.67,0.27,0.00,31.60,0
0.35,2.50,2.57,21.33,31.60,0.36,0.36,9.40,0
4.81,4.04,2.51,21.73,8.47,1.12,0.44,1.88,0
1.75,3.51,5.76,3.89,12.15,1.74,1.36,2.20,1
4.07,7.52,6.05,24.01,4.40,2.22,3.40,8.92,0
3.05,0.75,2.50,1.14,10.00,1.86,1.16,1.36,1
1.58,2.06,4.03,2.51,10.41,2.99,4.32,21.44,1
2.93,1.68,1.77,6.58,9.82,0.05,0.32,22.84,1
5.86,1.25,4.83,1.98,19.68,0.16,0.76,25.16,1
2.66,7.77,5.15,11.96,21.71,0.82,2.40,28.84,1
0.56,4.45,4.96,7.67,5.22,0.94,2.80,33.44,1
1.46,5.03,3.26,4.65,0.78,0.26,1.88,35.32,1
0.79,1.00,4.16,0.41,9.06,0.27,0.12,37.20,1
