speed_p,speed_r,speed_d,distance_d_p,distance_d_r,distance_d1_p,distance_d2_r,angle_d,angle_d1_p,angle_d2_r,possTimePre,possessionTime,flag
1.77,1.50,0.79,2.55,7.53,1.17,7.53,0.11,0.18,0.53,1.76,17.00,1
0.75,0.25,2.50,7.84,8.40,7.84,5.92,0.17,0.17,2.41,1.48,18.88,1
1.58,3.91,6.91,0.61,6.04,0.61,4.12,0.82,0.82,0.78,0.48,19.84,1
2.50,4.85,0.56,1.94,28.83,1.94,19.42,0.09,0.09,0.60,7.68,28.92,0
3.50,2.36,7.12,2.12,19.20,2.12,8.49,0.04,0.04,1.31,2.20,3.20,1
3.72,1.03,5.51,2.64,8.05,2.64,7.18,2.17,2.17,0.51,2.48,6.04,1
0.56,2.24,3.69,4.36,16.31,3.79,15.68,0.75,0.66,0.99,0.56,8.24,1
2.80,0.56,4.16,16.12,23.78,9.76,23.78,0.79,0.14,0.23,1.52,10.48,1
2.57,3.16,3.35,26.54,11.10,19.28,11.10,0.14,0.37,0.08,0.00,16.44,1
2.37,0.50,0.50,20.93,14.67,7.91,11.79,0.09,0.52,0.83,4.24,23.72,1
3.40,1.46,0.90,2.75,8.56,2.75,7.08,1.32,1.32,0.12,1.24,25.28,1
1.27,4.93,4.93,13.68,29.54,10.28,13.22,0.73,1.31,0.27,2.08,29.56,1
3.26,10.33,3.40,1.80,0.80,1.80,0.80,3.08,3.08,0.01,7.48,38.76,1
4.42,1.03,5.01,2.55,10.04,2.55,7.62,0.65,0.65,3.00,4.56,43.80,1
6.56,0.71,4.56,7.32,6.13,3.12,6.13,0.39,1.65,0.82,2.68,47.00,1
2.30,2.00,5.84,6.11,12.93,3.18,12.93,1.43,1.59,0.13,1.60,50.08,1
3.61,3.91,5.51,7.47,18.61,7.47,18.61,0.94,0.94,0.60,0.96,52.40,1
0.90,3.54,4.70,2.65,25.76,2.65,25.76,1.23,1.23,0.06,4.36,57.56,1
5.53,3.50,2.12,17.46,8.46,17.46,8.46,0.27,0.27,2.45,2.48,68.88,1
2.93,1.82,1.60,3.18,20.16,3.18,11.03,0.82,0.82,1.35,0.92,71.80,1
7.40,5.94,6.17,8.63,19.16,2.80,2.61,0.28,2.17,1.23,1.40,74.88,0
5.76,5.51,3.13,7.38,12.22,3.54,2.47,0.05,0.23,0.02,2.52,21.56,1
1.25,0.56,1.25,7.14,11.83,4.59,11.83,2.56,0.99,0.19,2.16,24.64,1
3.91,0.56,3.13,11.70,5.19,11.70,5.19,0.09,0.09,2.99,0.00,27.88,1
0.75,0.56,0.35,11.82,16.79,3.66,16.79,0.15,1.64,0.12,0.24,29.96,0
1.27,4.96,2.51,3.67,11.35,3.67,4.02,1.99,1.99,2.11,0.00,0.64,1
5.81,6.73,6.71,5.16,5.52,5.16,3.58,2.38,2.38,2.12,0.56,1.80,1
7.50,4.45,6.39,1.39,18.68,1.39,11.86,0.26,0.26,2.26,1.60,9.16,0
3.02,2.57,5.59,2.56,41.68,2.56,15.20,1.25,1.25,0.45,3.72,7.44,1
2.00,2.37,3.13,12.30,15.24,3.11,15.24,1.14,0.67,0.65,2.60,11.92,1
0.56,2.26,3.02,29.36,9.00,14.42,6.28,0.40,0.84,0.72,0.00,14.72,1
3.76,1.50,3.35,18.27,11.91,3.96,6.19,0.01,1.28,2.83,0.24,16.68,0
3.91,5.75,4.80,2.28,27.91,2.28,5.85,2.37,2.37,0.41,2.08,4.60,1
4.27,2.57,1.46,8.94,25.32,4.70,6.17,0.18,0.66,0.90,2.48,8.20,0
3.76,0.56,5.81,1.03,10.04,1.03,7.32,2.97,2.97,1.78,1.12,1.56,1
0.71,2.69,3.20,4.50,15.05,2.28,13.73,2.94,0.97,0.70,0.92,3.20,1
1.58,2.15,3.55,18.53,9.82,17.50,9.82,0.47,0.35,0.74,1.00,5.36,1
0.25,1.52,4.74,3.98,19.02,3.98,17.87,0.98,0.98,0.25,0.32,6.36,1
3.13,1.77,5.30,6.10,20.90,6.10,10.14,0.23,0.23,0.47,4.04,11.76,1
1.46,3.82,5.96,19.41,30.22,4.43,12.62,0.01,1.06,0.14,2.80,16.00,0
2.14,0.75,1.60,10.78,14.52,4.84,12.51,1.45,1.20,1.40,1.40,4.00,1
2.15,3.69,2.36,4.74,14.01,4.74,14.01,1.73,1.73,0.76,0.96,5.92,1
3.58,3.00,6.40,12.59,8.75,12.59,8.75,1.82,1.82,0.75,0.88,10.20,1
2.24,1.27,1.25,13.83,16.21,5.33,11.21,0.53,1.12,1.95,1.72,13.96,1
2.36,5.55,2.61,4.81,13.06,4.81,13.06,1.64,1.64,1.02,0.32,15.64,1
2.51,4.27,3.69,9.18,10.38,9.18,7.39,0.42,0.42,0.94,1.36,18.80,1
0.35,1.75,2.14,8.49,8.59,4.12,8.59,0.17,0.30,2.47,0.92,20.48,1
4.14,2.30,5.26,4.57,29.27,4.57,20.40,1.18,1.18,0.83,2.88,24.96,1
0.90,1.90,3.20,8.80,15.51,5.27,11.18,1.10,1.31,0.21,2.88,29.04,1
2.85,3.64,3.40,0.36,9.28,0.36,9.28,1.75,1.75,0.63,0.40,24.52,1
2.26,4.12,4.51,1.84,26.62,1.84,2.44,2.62,2.62,0.24,1.96,29.40,1
2.30,1.52,2.06,1.33,15.02,1.33,12.07,0.08,0.08,1.45,3.76,55.16,0
6.17,4.45,2.85,17.35,1.88,3.26,1.88,2.59,3.02,0.27,0.04,3.28,1
3.69,0.79,4.28,3.71,14.54,3.71,12.46,0.40,0.40,0.00,1.84,2.56,1
0.25,1.75,3.25,28.32,57.12,2.98,28.30,0.00,0.26,0.46,0.68,5.32,0
1.27,3.75,0.25,5.33,8.12,5.33,1.43,1.64,1.64,1.67,0.56,18.28,1
3.91,3.75,1.68,1.30,4.26,1.30,4.26,0.95,0.95,2.03,2.36,7.20,0
1.58,3.20,3.76,37.50,39.64,2.80,14.87,0.16,0.95,0.57,0.88,2.24,0
3.26,4.53,3.88,7.50,13.97,7.50,10.87,1.27,1.27,1.72,2.68,3.96,1
2.85,1.60,2.93,12.49,9.21,1.84,9.21,1.62,1.87,1.01,2.88,8.12,1
3.36,4.27,6.01,4.90,8.76,4.90,8.76,1.56,1.56,0.08,0.92,10.84,1
2.06,2.55,6.19,3.71,15.38,3.71,5.72,0.47,0.47,0.85,1.52,16.20,0
2.06,0.75,4.26,10.06,7.47,5.13,7.47,1.02,0.08,0.28,0.32,1.20,1
1.82,1.50,3.09,9.08,7.22,2.70,7.22,0.31,2.10,1.81,3.60,6.48,0
4.51,6.50,4.47,0.60,7.09,0.60,6.25,2.34,2.34,0.39,1.88,2.36,1
1.12,5.94,1.68,3.54,12.08,2.53,3.12,2.17,2.11,1.15,1.44,5.64,1
5.02,2.12,5.67,12.03,85.50,1.61,32.60,0.01,0.05,0.13,0.00,7.80,0
3.82,1.80,1.41,2.56,17.47,2.56,17.47,0.38,0.38,0.01,7.12,61.32,1
1.03,2.83,2.61,14.15,9.24,14.15,9.24,0.29,0.29,0.75,1.24,63.36,1
2.00,3.35,3.50,15.12,21.85,8.63,21.85,0.19,0.44,0.06,5.64,72.68,1
4.51,5.27,7.20,5.02,23.55,5.02,11.04,0.65,0.65,0.61,0.00,74.12,1
2.30,10.26,4.28,10.83,5.66,3.61,5.66,2.05,0.09,1.43,0.52,75.88,1
7.94,4.78,3.00,12.84,5.14,8.21,5.14,1.34,0.50,0.56,0.00,78.84,1
4.50,5.15,6.17,3.47,9.94,3.47,3.05,1.58,1.58,0.68,0.16,80.80,1
7.78,4.61,3.78,4.81,25.47,3.72,5.80,1.20,0.25,1.81,1.28,83.52,1
7.49,5.64,8.39,1.75,11.20,1.30,5.25,2.57,0.98,1.46,6.56,90.88,1
5.06,3.13,4.03,1.39,26.65,1.39,18.63,0.03,0.03,0.02,6.32,112.00,1
0.25,3.82,2.66,8.99,20.00,5.59,3.58,0.29,1.23,0.57,2.16,119.88,1
8.70,6.25,5.64,4.80,2.40,1.60,2.40,2.01,2.01,0.41,0.00,0.44,1
9.78,6.82,5.00,4.80,7.14,2.28,7.14,2.79,1.67,0.07,2.64,4.28,1
2.30,2.93,4.37,10.83,13.53,6.77,3.04,0.20,0.35,0.66,0.00,36.12,1
1.80,0.50,1.35,9.82,38.72,2.66,6.81,0.01,0.15,0.29,3.16,40.36,0
0.25,0.35,0.90,6.73,10.94,6.73,9.02,0.45,0.45,0.82,1.44,10.48,1
1.25,1.77,2.80,10.72,8.01,10.72,8.01,0.71,0.71,1.42,0.00,11.16,1
0.56,1.25,1.46,2.59,17.42,2.59,16.52,1.24,1.24,0.25,4.56,16.24,1
1.25,3.13,0.56,17.50,2.72,16.73,2.72,0.22,0.40,1.38,0.00,20.12,1
2.36,0.75,2.80,8.27,5.64,1.40,5.64,3.10,0.02,0.46,1.08,23.12,1
0.90,1.80,2.30,34.44,8.54,3.18,8.54,0.05,1.15,0.65,0.00,31.60,0
1.82,1.25,0.25,21.20,27.90,2.16,13.75,0.13,2.33,2.41,0.20,9.40,0
2.66,2.14,0.25,21.77,24.54,1.04,1.91,0.35,2.79,0.69,0.24,1.88,0
3.50,2.61,3.05,4.18,12.02,1.80,12.02,1.77,1.96,0.85,1.08,2.20,1
2.06,1.35,4.53,24.15,48.39,4.67,27.54,0.00,2.40,0.49,3.24,8.92,0
1.12,1.82,3.50,0.91,10.20,0.91,7.49,1.10,1.10,1.15,0.96,1.36,1
0.90,1.95,2.57,2.14,11.36,2.14,11.36,2.71,2.71,0.15,3.88,21.44,1
2.46,1.03,3.61,6.93,9.68,6.93,5.86,0.06,0.06,2.66,0.16,22.84,1
2.61,1.60,3.04,1.97,19.22,1.97,19.22,0.13,0.13,0.33,0.60,25.16,1
2.76,2.66,4.47,12.19,22.64,12.19,18.70,0.85,0.85,0.33,2.24,28.84,1
1.27,3.54,6.91,6.80,6.40,6.80,2.46,0.85,0.85,2.17,2.56,33.44,1
4.45,2.30,2.26,6.10,10.96,3.16,6.08,2.47,1.27,0.48,0.00,35.32,1
5.03,7.95,3.26,0.78,9.65,0.78,6.22,0.30,0.30,1.52,0.00,37.20,1
0.35,2.25,3.51,1.86,9.96,1.86,9.96,0.52,0.52,0.36,2.28,40.12,1
1.35,1.25,1.90,9.94,17.99,9.94,17.99,0.15,0.15,0.09,1.68,42.96,1
0.25,1.27,2.14,11.23,13.54,11.23,13.54,0.00,0.00,0.30,2.64,46.48,1
0.90,1.00,0.25,21.47,6.85,2.20,6.85,0.04,1.21,0.43,1.96,60.56,0
3.58,2.80,2.83,26.76,41.42,2.28,10.68,0.02,0.23,0.07,0.84,2.68,0
2.85,2.66,1.35,14.48,13.18,14.48,10.30,0.38,0.38,0.05,12.76,16.72,1
2.50,2.37,2.50,5.50,7.93,2.25,7.93,0.33,2.74,0.03,1.96,19.36,1
0.90,0.79,1.58,8.78,16.79,8.78,16.79,0.63,0.63,0.31,0.04,29.48,1
3.69,1.60,3.75,20.80,16.43,13.67,16.43,0.24,0.59,0.25,2.28,33.44,1
4.56,2.02,3.26,9.66,19.73,9.66,15.84,0.62,0.62,0.45,1.32,36.20,1
0.75,1.35,3.81,11.54,14.27,11.54,14.27,0.81,0.81,0.21,1.00,39.92,1
0.79,3.35,1.60,15.75,11.31,15.75,11.31,0.34,0.34,0.58,0.32,41.32,1
1.00,2.36,2.00,7.95,23.46,7.95,12.34,0.28,0.28,0.07,2.36,45.12,1
2.70,2.02,4.01,0.64,13.26,0.64,8.60,1.23,1.23,0.14,3.36,48.96,1
1.80,2.02,0.79,1.53,25.42,1.53,4.46,1.72,1.72,1.69,2.84,55.16,1
1.41,1.41,3.48,1.03,7.71,1.03,7.71,2.06,2.06,3.10,6.88,62.68,1
3.88,1.03,1.03,7.54,0.86,3.05,0.86,1.75,2.78,1.97,2.28,64.96,1
5.55,3.54,1.27,2.24,4.00,2.20,2.82,2.77,0.05,0.71,2.56,68.16,1
1.27,2.30,3.40,10.44,6.02,6.84,6.02,0.88,0.11,1.31,1.08,81.52,1
2.30,0.25,1.75,3.70,26.69,2.33,15.98,0.60,0.84,0.94,0.00,85.32,1
1.12,2.61,5.71,3.24,14.68,3.24,3.31,0.83,0.83,0.30,0.00,86.80,1
0.25,0.25,3.58,1.91,7.49,1.91,5.90,2.90,2.90,0.19,0.00,5.88,1
0.56,0.90,0.50,29.96,34.01,2.42,10.85,0.03,1.99,0.88,0.92,11.60,0
2.57,1.60,1.25,1.89,12.74,1.89,6.61,2.24,2.24,0.78,1.40,1.64,1
4.27,1.00,3.51,5.71,21.57,5.71,12.88,0.75,0.75,0.53,5.20,7.80,1
0.25,0.25,2.85,1.20,16.11,1.20,15.32,0.07,0.07,0.62,1.84,10.72,1
2.70,3.36,2.26,2.00,23.58,2.00,7.89,0.07,0.07,0.49,2.12,14.12,1
2.25,0.35,1.58,9.61,17.76,9.61,17.76,1.62,1.62,0.57,0.00,0.52,1
2.69,0.56,2.69,12.54,22.21,12.54,19.93,0.23,0.23,0.33,1.80,3.60,1
0.25,1.35,2.66,5.65,17.54,5.65,2.81,0.17,0.17,0.70,1.72,14.92,1
1.82,1.41,0.79,19.24,26.58,3.49,6.07,0.09,1.45,2.59,0.00,19.96,0
2.02,2.93,5.71,1.20,10.83,1.20,8.39,0.42,0.42,0.03,1.64,2.20,1
2.70,1.95,1.03,3.42,4.32,3.42,4.32,0.43,0.43,2.69,4.32,6.56,1
4.32,1.12,4.78,2.75,12.82,2.75,12.37,0.10,0.10,0.53,2.92,10.28,1
0.35,1.25,3.05,5.30,10.97,5.30,5.95,0.58,0.58,2.72,0.92,12.40,1
4.85,1.52,3.40,3.10,11.05,3.10,2.95,2.22,2.22,0.82,1.16,14.20,1
2.02,4.12,0.25,1.30,8.20,1.30,8.20,0.11,0.11,2.98,0.44,14.92,1
8.51,3.40,6.33,4.68,3.71,1.46,3.71,1.82,2.00,1.08,2.52,18.00,1
1.27,5.22,5.70,3.98,9.98,3.98,2.60,0.10,0.10,0.78,0.92,20.88,0
4.27,4.96,7.63,2.98,11.92,2.98,5.36,1.96,1.96,2.85,2.72,5.24,1
7.04,1.03,3.69,8.16,71.43,2.65,32.48,0.16,1.35,0.36,1.24,9.24,0
0.75,0.25,3.18,5.34,17.81,5.34,13.21,2.83,2.83,0.22,0.00,5.48,1
1.12,1.35,0.50,11.17,14.70,1.98,2.66,0.03,1.51,1.73,2.32,23.76,0
2.14,1.95,3.76,2.53,8.06,2.53,8.06,0.96,0.96,1.37,0.48,0.84,1
1.52,0.50,3.91,9.41,9.58,9.41,8.54,0.82,0.82,2.12,0.00,2.64,1
5.41,1.60,1.82,1.53,19.96,0.63,5.61,0.04,2.83,0.04,8.64,11.56,0
9.52,3.18,2.85,2.34,6.92,2.34,5.55,0.10,0.10,0.73,0.68,1.88,0
0.75,0.75,1.58,3.35,6.45,3.35,6.45,0.76,0.76,2.13,2.44,3.72,1
1.68,3.02,4.26,5.66,10.75,2.67,4.70,0.06,0.09,0.09,0.56,8.28,0
4.59,6.50,5.30,17.79,2.42,1.21,2.42,1.69,2.97,0.00,3.00,5.48,1
3.51,0.90,2.61,13.83,21.85,13.83,21.85,0.47,0.47,0.40,2.12,3.36,1
1.25,2.93,4.07,10.95,4.88,10.95,4.88,1.12,1.12,1.01,2.64,6.36,1
1.80,0.35,2.02,5.66,10.50,5.66,10.50,0.98,0.98,1.85,1.08,7.96,1
1.77,5.80,1.77,10.33,7.40,10.33,5.15,0.49,0.49,0.48,0.44,10.60,1
2.26,1.35,5.15,6.40,11.04,5.22,11.04,1.54,0.65,0.79,0.64,12.76,1
0.50,6.52,1.52,14.04,4.43,0.76,4.43,0.37,2.04,2.07,2.08,15.48,1
