speed_p,speed_r,speed_d,distance_d_p,distance_d_r,angle_d,possTimePre,possessionTime,flag
3.20,5.83,6.18,4.65,8.22,1.04,1.28,10.84,1
1.95,2.24,5.27,3.93,16.10,0.51,1.68,16.20,0
1.27,0.50,4.01,10.31,6.66,1.09,0.48,1.20,1
1.90,1.35,2.85,9.26,7.00,0.30,3.76,6.48,0
5.39,5.34,3.34,0.50,7.28,2.41,2.20,2.36,1
1.12,6.09,5.32,1.92,12.58,2.17,1.64,5.64,1
5.02,2.12,5.67,12.03,85.50,0.01,0.00,7.80,0
3.91,1.68,1.60,3.08,17.54,0.47,7.24,61.32,1
1.41,1.58,2.57,13.85,9.40,0.30,1.44,63.36,1
1.82,4.04,3.51,15.21,21.57,0.20,5.80,72.68,1
4.60,3.76,5.39,0.78,17.04,1.00,1.00,74.12,1
1.77,9.06,4.91,9.98,7.00,1.91,0.68,75.88,1
4.47,3.76,0.90,13.09,1.91,1.90,1.08,78.84,1
2.25,5.51,6.56,4.33,9.22,1.56,0.28,80.80,1
8.31,4.81,3.13,3.26,27.41,0.15,1.52,83.52,1
7.38,5.30,8.28,1.90,10.50,3.14,6.76,90.88,1
4.98,3.26,4.14,1.30,26.24,0.06,6.40,112.00,1
0.56,4.28,2.30,8.81,20.39,0.32,2.28,119.88,1
8.70,6.25,5.64,4.80,2.40,2.01,0.00,0.44,1
12.20,7.07,5.01,4.41,7.53,2.11,2.92,4.28,1
2.50,4.25,5.52,4.68,16.81,0.35,0.88,36.12,1
3.81,1.50,1.25,10.24,24.03,0.16,3.36,40.36,0
0.90,0.56,0.90,6.73,11.07,0.45,1.68,10.48,1
1.25,1.77,2.80,10.72,8.01,0.71,0.00,11.16,1
1.00,1.12,1.25,2.46,17.43,1.25,4.72,16.24,1
0.56,2.06,1.95,8.94,10.25,0.58,3.48,20.12,1
2.57,0.56,3.29,8.12,5.46,3.10,1.16,23.12,1
0.90,1.80,2.30,34.44,8.54,0.05,0.00,31.60,0
1.90,1.52,0.56,21.33,27.90,0.13,0.36,9.40,0
3.25,1.75,0.71,21.73,24.82,0.37,0.44,1.88,0
2.02,5.94,4.74,3.89,12.15,1.74,1.36,2.20,1
1.68,0.25,4.00,24.01,48.41,0.03,3.40,8.92,0
1.58,1.27,2.76,1.14,10.00,1.86,1.16,1.36,1
0.75,0.35,3.34,2.51,10.41,2.99,4.32,21.44,1
3.02,1.35,3.40,6.58,9.82,0.05,0.32,22.84,1
3.04,1.68,2.30,1.98,19.68,0.16,0.76,25.16,1
2.85,4.03,4.25,11.96,21.71,0.82,2.40,28.84,1
0.50,2.50,0.35,7.67,5.22,0.94,2.80,33.44,1
1.46,5.03,3.26,4.65,0.78,0.26,1.88,35.32,1
1.82,6.05,3.01,0.41,9.06,0.27,0.12,37.20,1
0.71,1.75,3.76,1.64,10.68,0.24,2.44,40.12,1
1.82,1.82,2.06,10.12,18.12,0.14,1.84,42.96,1
0.90,1.35,2.69,11.29,13.25,0.03,2.76,46.48,1
4.27,9.96,7.77,15.27,6.69,1.14,7.44,60.56,0
4.27,2.93,2.83,27.31,41.08,0.02,0.92,2.68,0
